epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.11125,1.22345,6.899,1.8454,0.96585,0.9,0.97192,0.77614,0.81254,4.29678,1.42621,0.00012,0.00012,0.00012
2,5.76142,0.92738,3.6138,1.48857,0.98986,1,0.995,0.62159,1.13966,4.0688,1.67924,0.00023426,0.00023426,0.00023426
3,8.16123,0.87666,2.66865,1.49677,0.97973,0.8,0.92346,0.59435,0.99334,4.13175,1.71647,0.0003208,0.0003208,0.0003208
4,10.693,0.97626,2.03613,1.68688,0.63831,0.8,0.75457,0.44847,1.36314,3.14388,2.29805,0.00037962,0.00037962,0.00037962
5,13.0516,0.95575,1.46967,1.55121,0.90323,1,0.96773,0.73577,0.86157,1.83942,1.60105,0.00041072,0.00041072,0.00041072
6,15.4559,0.79738,1.19291,1.35587,0.80424,0.9,0.91333,0.68106,0.88387,1.69186,1.46037,0.0004141,0.0004141,0.0004141
7,17.6304,0.8875,1.15348,1.44795,1,0.87327,0.96643,0.7349,0.79228,1.60727,1.37684,0.00038976,0.00038976,0.00038976
8,20.2201,0.83184,1.04341,1.4495,0.97966,1,0.995,0.76259,0.78428,1.39602,1.33216,0.0003377,0.0003377,0.0003377
9,22.8494,0.76404,0.95835,1.34061,0.98515,1,0.995,0.77701,0.72829,1.40433,1.30386,0.00025792,0.00025792,0.00025792
10,26.6662,0.66164,0.77943,1.16418,0.98516,1,0.995,0.83258,0.65252,1.23009,1.23352,0.00015042,0.00015042,0.00015042
